id,follow,meet,givefuture,info,march,sign,give12m,compromise,tempobama,tempblack,tempwhite,temphisp,temppolice,tempfem,tempmuslim,tempsci,dem_cand,rep_cand,lazyb,lazy_w,lazy_h,lazy_m,violent_b,violent_w,violent_h,violent_m,econ_now,econ12m,pidAggr,ISSUES_1,ISSUES_2,ISSUES_3,ISSUES_4,ISSUES_5,ISSUES_6,ISSUES_7,ISSUES_8,ISSUES_9,ISSUES_10,ISSUES_11,ISSUES_12,ISSUES_13,ISSUES_14,ISSUES_15,ISSUES_16,ISSUES_17,ISSUES_18,ISSUES_19,ISSUES_20,ISSUES_21,discb,disch,discw,discg,discwo,discm,discmu,discc,discselfsex,srvspend,camfin,imlegal,imnumb,eqpay,pleave,crime_spend,death,terrorworry,terror12m,terrorlocal,incgp20,isistroops,mnwge,hlthspend,childcr,get_ahead,ladder,fin_well,warm,warm_cause,warm_do,free_trade,stpwhite,stpblack,frcwhite,frcblack,pkdeficit,pkspend,vaccine,autism,obama_muslim,amer_identity,race_identity,buycott,boycott,skin_tone,skin_disc,birthyr,gender
11,1,5,5,5,2,2,2,1,32,53,52,54,97,34,43,98,,,5,5,5,5,5,5,5,5,4,2,,8,8,8,8,8,8,8,8,8,8,8,3,8,8,8,2,8,8,4,8,1,4,4,3,3,3,4,3,2,4,2,4,2,4,2,5,2,1,1,9,2,1,1,2,7,4,4,3,5,1,2,7,1,1,1,2,2,1,3,1,6,2,1,3,2,1,5,5,1978,1
12,1,5,5,4,2,1,2,1,10,80,80,80,90,50,50,90,4,9,5,5,5,5,4,4,4,3,3,4,3,8,8,8,8,8,8,2,8,8,8,8,4,8,8,8,8,8,8,3,8,1,4,4,4,4,4,5,3,2,5,3,4,2,5,1,2,3,2,1,1,3,1,2,1,5,6,3,1,5,1,2,6,5,2,3,2,2,1,3,2,3,2,1,3,2,2,1,5,1943,2
13,1,3,4,4,2,2,1,1,70,88,90,90,91,80,81,91,,,2,2,2,2,4,4,4,4,2,4,,8,8,4,8,8,8,8,8,8,8,1,8,8,8,2,8,8,8,8,3,8,3,4,5,2,3,5,1,4,5,5,1,2,5,2,1,3,3,9,3,5,1,3,1,2,4,1,7,7,1,3,2,4,3,3,2,2,1,3,1,6,2,1,1,2,1,3,4,1936,1
14,1,5,5,5,2,2,2,1,80,67,74,57,99,22,53,1,,,4,4,4,5,5,5,5,2,5,4,,8,3,8,8,8,8,8,8,8,8,8,2,4,8,8,8,8,8,8,8,1,4,4,4,4,4,5,4,1,5,2,4,7,7,1,3,4,1,9,1,3,3,2,2,4,4,4,1,2,2,3,7,4,2,2,2,2,1,3,1,5,1,1,5,2,2,1,5,1938,2
15,1,3,3,3,2,1,2,2,4,99,99,87,99,54,2,70,5,2,5,5,5,1,5,5,5,1,4,3,2,8,8,8,8,1,8,8,8,8,2,8,3,4,8,8,8,8,8,8,8,8,4,4,4,4,5,5,5,2,4,3,6,2,6,1,2,2,1,2,9,3,3,3,2,4,3,2,5,6,2,2,6,4,3,3,3,3,1,2,1,3,1,1,5,1,1,1,4,1956,2
16,2,5,5,5,2,2,2,2,0,74,63,65,66,49,61,76,4,7,4,4,4,4,3,4,4,3,4,4,3,8,1,8,8,4,8,8,8,8,8,2,8,8,8,8,8,8,8,3,8,8,4,5,1,4,5,1,4,1,4,1,4,3,5,5,5,7,5,9,4,5,1,7,4,5,6,3,6,6,2,2,7,7,5,5,5,5,1,1,7,5,2,2,5,2,2,5,4,1984,1
17,1,1,1,1,1,2,1,1,66,63,58,54,48,69,61,43,1,4,5,5,5,5,5,5,5,5,2,2,1,8,8,8,8,8,8,8,8,8,8,2,8,8,3,8,8,8,4,8,1,8,5,5,5,5,4,4,5,4,4,6,3,3,3,3,3,4,4,2,9,2,2,1,2,1,1,2,2,3,1,1,1,3,3,3,3,3,2,3,3,3,2,3,2,1,1,4,3,1981,1
18,1,5,3,5,2,1,1,1,100,80,81,80,89,88,60,100,,,3,3,3,3,3,3,3,3,3,3,,8,8,1,8,8,8,8,8,8,8,8,8,8,8,3,8,8,8,8,4,2,3,4,5,4,4,5,2,5,5,4,1,2,4,1,1,2,4,3,9,4,1,7,1,4,3,2,7,7,1,1,1,7,3,4,3,3,1,3,1,6,2,1,5,2,2,2,5,1945,2
19,1,5,4,4,2,2,2,2,0,100,95,100,100,0,15,100,5,4,5,5,5,5,5,5,5,3,4,4,3,8,3,8,8,8,8,1,8,8,8,8,2,8,8,8,4,8,8,8,8,8,4,4,4,4,5,5,3,3,5,1,7,5,7,1,7,1,1,1,3,1,1,1,2,7,7,2,4,7,2,2,7,7,2,2,2,2,1,1,6,4,2,2,5,2,2,2,4,1961,1
20,1,5,2,5,2,2,1,1,96,92,94,92,63,94,60,94,,,4,4,4,4,4,4,4,4,2,2,,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,1,8,2,3,8,3,3,5,3,3,5,2,5,4,6,1,2,3,1,1,4,6,4,4,4,1,6,1,2,2,2,5,5,1,1,1,3,2,4,2,3,1,1,1,6,2,4,5,2,1,2,5,1958,2
21,1,2,3,2,2,2,2,1,99,95,81,100,74,89,100,96,,,5,4,5,5,5,5,5,5,1,2,,8,8,2,8,8,3,8,8,8,8,8,8,8,8,1,8,8,8,4,8,8,2,2,4,3,4,5,1,3,5,5,1,2,4,1,5,3,7,9,4,5,1,4,1,2,3,3,5,6,1,1,1,2,3,3,2,3,1,1,3,5,2,2,5,2,1,1,5,1950,2
22,1,5,2,1,2,2,1,2,12,71,71,45,41,51,1,81,3,2,5,5,5,2,5,4,5,1,5,3,2,8,4,8,8,8,8,8,8,8,8,3,8,1,8,8,8,8,8,8,8,2,4,3,4,4,4,4,4,2,4,2,2,7,7,3,4,3,2,1,2,5,1,5,1,3,2,2,5,7,1,1,2,4,4,4,5,5,1,2,1,5,1,1,2,2,2,6,4,1955,1
23,1,3,5,4,2,2,2,1,75,61,51,51,41,60,50,91,3,6,5,5,5,5,4,4,4,4,2,3,3,8,8,8,8,8,2,8,8,8,4,8,8,8,8,8,8,8,8,3,1,8,2,3,5,3,3,4,2,4,4,7,1,1,2,1,2,5,4,4,3,5,1,3,1,2,3,3,6,5,1,3,1,5,4,5,3,4,1,1,2,6,2,3,3,1,1,2,5,1954,1
24,1,5,4,5,2,2,2,1,91,84,87,91,52,98,79,82,3,11,5,5,5,5,5,5,5,5,3,3,1,8,8,3,8,8,1,8,8,2,8,8,8,8,8,8,8,4,8,8,8,8,3,3,4,3,3,4,3,3,4,7,1,2,4,1,1,1,1,5,9,5,1,5,1,1,2,3,4,4,1,1,1,2,3,4,2,4,1,4,1,6,2,3,3,2,2,2,5,1945,2
25,1,2,5,4,2,2,2,1,66,39,58,53,54,49,46,86,,,3,5,5,5,3,5,4,3,3,3,,8,8,8,8,8,4,8,2,8,8,1,8,8,8,3,8,8,8,8,8,8,3,3,4,3,3,4,2,5,5,5,1,2,3,1,1,3,5,4,9,5,1,3,1,3,3,3,6,4,1,3,3,3,2,3,2,3,1,1,1,6,2,2,4,2,1,1,5,1978,1
26,1,4,4,5,2,2,2,1,39,79,80,86,85,55,63,73,1,8,4,4,4,4,4,4,4,4,4,4,3,8,8,8,8,8,8,8,8,8,4,1,8,3,8,8,8,8,8,2,8,8,4,4,5,3,4,4,3,4,5,5,3,1,1,2,2,3,3,3,4,3,1,3,1,3,2,4,5,6,1,1,2,1,2,3,3,3,1,1,1,6,2,2,3,2,2,2,5,1981,1
27,1,5,5,5,2,2,2,1,1,50,50,51,88,29,51,87,,,4,4,5,4,3,3,3,3,4,3,,8,4,8,8,8,8,1,8,8,8,8,8,8,8,8,8,8,8,3,8,2,2,2,4,3,4,4,2,4,4,2,2,1,4,1,3,3,1,9,3,4,3,4,1,4,4,4,3,3,1,3,3,2,5,5,4,5,1,2,1,6,1,1,3,2,2,2,5,1949,2
28,1,3,3,3,2,1,1,1,70,56,88,90,57,94,77,84,3,11,5,5,5,5,5,5,5,5,3,3,1,8,8,8,8,2,3,8,8,8,8,8,8,8,8,4,8,1,8,8,8,8,2,3,5,2,3,5,1,5,5,6,1,1,3,1,1,4,7,9,4,5,1,7,1,1,2,4,2,2,1,3,1,5,2,5,3,5,1,4,4,3,2,1,2,1,1,2,5,1944,2
29,2,5,4,4,2,2,2,2,80,64,75,45,46,80,64,69,3,11,5,5,5,5,4,5,5,4,2,3,1,8,8,1,8,8,8,8,8,2,8,3,8,8,8,4,8,8,8,8,8,8,2,3,5,2,2,5,1,5,4,7,1,4,5,1,1,1,2,4,5,5,1,7,1,1,1,1,7,7,1,1,1,5,4,5,3,4,3,3,1,5,2,3,1,2,1,2,5,1955,2
30,1,1,4,4,2,2,2,1,100,58,56,55,89,71,53,82,1,11,5,5,5,5,5,5,5,5,2,2,1,8,8,8,8,8,8,8,8,4,8,1,8,8,8,3,8,8,8,2,8,8,2,3,5,3,4,4,1,5,5,5,1,1,3,5,3,3,7,4,9,4,1,7,1,2,2,2,5,6,1,1,1,3,2,4,2,4,1,1,1,6,2,2,2,2,1,3,5,1951,2
31,1,1,5,5,2,2,2,1,100,54,51,51,27,51,50,91,1,11,5,1,5,5,5,1,5,5,1,1,2,8,8,2,8,3,8,8,4,8,8,1,8,8,8,8,8,8,8,8,8,8,1,1,5,1,1,5,1,5,1,997,7,1,1,1,1,4,7,9,5,5,1,7,1,1,1,3,7,7,1,1,1,3,1,5,1,5,2,1,1,6,2,2,2,2,2,1,5,1994,2
32,1,4,3,3,1,2,1,1,63,88,62,77,31,93,72,91,3,11,4,4,4,5,4,2,4,4,4,3,1,8,8,1,8,8,4,8,8,2,8,8,8,8,8,8,8,3,8,8,8,8,2,2,4,2,2,4,2,5,5,7,1,1,2,1,1,3,7,5,4,5,1,7,1,1,2,2,7,7,1,1,1,7,5,5,2,5,1,2,1,3,2,3,4,1,1,1,5,1950,1
33,3,4,5,5,2,2,2,2,3,51,99,20,100,3,6,20,5,11,3,3,3,3,3,4,3,2,4,5,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,3,8,2,4,8,8,4,4,1,4,5,1,3,1,5,1,4,1,4,4,4,6,1,9,2,2,2,2,2,4,4,4,2,2,2,2,6,4,2,2,2,2,1,4,4,4,1,1,1,2,2,2,5,1953,1
34,1,3,3,4,2,2,2,2,1,50,53,52,84,3,6,50,,,8,8,8,8,8,8,8,1,3,3,,8,8,8,8,8,8,8,8,8,8,4,2,8,8,8,8,8,8,3,8,1,4,4,4,4,4,4,2,3,5,2,3,2,4,7,7,3,3,1,9,2,2,3,4,4,4,4,5,5,2,2,5,4,3,3,3,3,2,4,5,5,2,2,5,2,1,2,5,1971,2
35,1,5,3,5,2,2,2,1,69,60,63,71,70,69,58,81,1,6,5,5,5,5,5,5,5,5,2,3,1,8,8,4,8,8,3,8,8,8,1,8,8,8,8,8,8,8,8,2,8,8,3,4,5,3,4,5,4,5,5,5,2,2,3,2,4,4,6,9,4,5,2,3,1,3,3,3,2,4,1,1,2,2,3,3,3,4,1,1,1,6,2,4,4,2,2,2,5,1967,1
36,1,1,1,1,2,1,1,1,82,70,85,66,78,82,59,94,3,11,5,5,5,5,5,5,5,5,2,2,1,8,8,2,8,8,1,8,8,4,8,8,8,8,8,3,8,8,8,8,8,8,3,3,5,3,3,4,1,5,5,6,1,1,2,1,1,6,7,3,4,5,1,6,1,2,1,3,5,4,1,1,1,4,2,4,2,4,1,1,1,6,2,1,2,2,2,1,5,1945,1
37,1,5,5,5,2,2,2,1,76,81,69,67,62,51,80,82,,,5,5,5,5,5,5,5,5,2,3,,8,8,4,8,8,8,8,8,8,8,1,8,8,8,3,8,8,8,8,8,2,3,3,3,2,3,4,1,4,3,7,1,4,5,2,2,1,4,2,2,3,1,4,1,3,3,3,4,5,1,1,2,7,3,3,3,5,1,4,1,6,2,3,5,1,2,1,4,1948,2
38,2,5,5,5,2,2,2,1,80,80,81,74,31,70,11,91,3,7,5,5,5,5,5,5,5,3,2,2,3,8,3,8,8,8,8,8,8,8,2,1,8,8,8,8,8,8,8,8,8,4,3,3,4,3,4,4,3,4,5,4,1,2,4,1,4,4,3,3,3,4,1,5,2,3,3,3,7,6,1,3,2,1,2,4,2,4,1,1,3,4,2,2,3,2,2,4,3,1976,1
39,1,5,2,5,2,2,2,1,10,60,60,60,90,50,31,69,4,6,5,5,5,5,5,5,5,5,3,3,3,8,8,8,8,8,8,8,2,8,8,1,4,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,4,3,4,2,4,4,4,4,2,9,3,4,2,2,2,4,4,5,4,4,1,2,6,5,3,3,3,3,1,2,1,6,2,1,5,2,2,3,5,1955,1
40,2,4,5,5,2,2,2,2,0,71,67,66,88,14,1,31,,,3,2,4,3,3,3,3,1,5,5,,1,4,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,8,8,8,3,4,5,4,5,5,4,5,1,5,2,2,2,4,3,2,4,1,2,9,3,2,1,2,4,4,3,7,7,1,3,7,4,4,3,4,4,1,3,7,3,1,1,2,2,1,2,5,1957,2
41,1,3,3,3,2,2,2,1,79,67,81,85,97,52,13,80,,,3,4,4,4,4,4,4,2,3,4,,8,8,3,8,2,4,8,8,8,8,8,8,1,8,8,8,8,8,8,8,8,3,4,4,2,4,4,1,2,4,6,1,2,5,1,2,3,4,3,9,5,2,6,1,2,4,3,4,4,1,1,2,2,3,4,3,4,3,1,1,3,2,2,2,2,2,1,4,1953,1
42,2,5,4,4,2,2,2,1,81,100,100,100,100,100,100,100,,,5,5,5,5,5,5,5,5,2,2,,8,8,4,8,8,1,8,8,8,8,3,8,8,8,8,8,8,8,8,2,8,3,3,3,3,3,5,1,5,3,4,1,1,2,1,3,4,6,3,3,5,1,4,1,2,3,4,3,4,1,1,1,1,2,4,3,4,1,1,1,6,2,1,2,1,2,1,5,1973,2
43,2,5,5,5,2,2,2,1,5,60,55,55,80,32,20,65,5,4,4,3,4,3,2,2,2,3,4,2,3,8,8,8,8,2,8,4,8,8,8,8,8,8,8,1,8,8,8,8,8,3,3,3,3,4,4,3,3,2,5,3,4,2,4,2,5,2,2,9,3,4,4,3,2,3,5,3,5,6,2,2,5,3,3,3,2,2,1,3,2,5,1,1,4,2,1,2,4,1944,1
44,1,1,3,3,2,2,2,1,95,62,99,31,100,96,100,95,1,4,2,2,2,2,2,2,2,2,1,3,1,8,8,8,8,4,2,8,8,1,8,3,8,8,8,8,8,8,8,8,8,8,2,2,5,2,2,5,2,5,5,7,4,1,1,1,1,1,1,1,5,1,2,1,1,1,1,2,2,3,2,3,3,1,5,1,3,3,2,4,1,1,2,1,1,1,2,4,5,1956,1
45,1,2,2,3,2,2,1,1,80,95,99,99,70,100,80,90,1,6,5,5,5,5,5,5,5,5,3,4,1,8,8,8,8,8,3,8,8,2,8,1,8,8,8,8,8,8,8,4,8,8,2,2,4,4,4,3,2,4,5,6,7,2,4,2,2,4,6,9,5,5,1,7,1,2,2,4,6,6,1,1,2,3,3,4,3,4,1,1,1,6,2,2,3,2,2,1,5,1949,1
46,1,3,3,4,2,2,1,1,0,19,10,71,50,7,0,49,3,11,4,4,4,4,4,4,4,4,5,5,3,8,8,8,8,8,8,1,8,8,8,2,3,8,8,8,8,8,8,8,8,4,3,3,4,3,5,4,3,4,5,1,4,1,3,2,5,6,4,9,2,3,2,3,2,4,4,2,6,6,2,3,6,3,3,4,3,3,1,1,1,6,1,1,4,2,2,2,5,1962,1
47,1,2,2,3,2,1,2,2,13,9,100,7,46,98,9,98,1,1,2,4,1,1,1,3,1,1,4,4,1,8,8,4,8,8,2,8,8,8,8,1,8,8,8,3,8,8,8,8,8,8,3,3,4,2,4,4,1,3,4,5,5,2,5,1,2,2,4,2,9,3,1,1,1,4,4,3,6,6,1,3,1,4,3,4,3,4,1,4,1,4,1,1,1,2,2,2,5,1952,2
48,1,4,1,4,2,2,1,1,41,62,66,59,60,64,56,60,,,4,5,4,4,3,4,4,4,3,4,,8,3,1,8,8,8,8,8,4,8,8,8,2,8,8,8,8,8,8,8,8,2,3,3,2,2,4,3,3,4,5,3,2,4,4,1,7,6,9,4,5,1,6,1,4,4,4,3,5,1,1,1,5,2,3,3,3,1,1,1,6,2,1,4,2,2,5,4,1972,1
49,1,4,3,4,2,1,2,1,100,97,94,100,52,99,99,98,,,5,4,5,5,4,3,5,4,2,3,,8,8,8,8,4,3,8,8,1,8,8,8,8,8,8,8,8,8,8,2,8,2,3,5,2,3,5,1,5,3,7,1,1,2,1,1,2,3,3,3,5,1,7,1,1,2,2,6,5,1,1,1,6,2,5,2,5,2,1,1,6,2,2,3,2,1,3,5,1960,2
50,1,5,5,5,2,2,2,2,0,59,75,54,70,6,0,10,4,4,3,5,4,3,2,5,2,1,4,5,3,8,8,8,8,8,8,4,8,8,8,1,8,8,8,8,8,8,8,3,8,2,4,4,2,4,4,1,3,1,4,3,7,7,7,7,5,3,3,1,9,2,1,1,4,4,6,3,6,6,2,2,7,7,2,2,2,2,1,1,6,1,1,1,1,2,2,1,5,1978,1
51,3,5,5,5,2,2,2,1,62,52,72,39,53,82,31,63,1,11,4,4,4,4,2,4,4,2,3,3,1,3,8,2,4,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,4,4,4,3,2,5,3,4,3,5,2,2,4,1,4,4,4,3,9,4,2,4,2,4,4,2,4,5,1,1,1,4,2,2,2,2,2,1,2,4,2,2,2,2,2,1,4,1976,2
52,1,1,3,1,2,1,2,1,95,69,51,50,48,93,51,100,,,5,5,5,5,4,3,4,4,3,3,,8,8,1,8,4,8,8,8,8,8,2,8,8,3,8,8,8,8,8,8,8,1,2,5,3,3,5,1,5,5,6,1,2,3,1,1,4,7,5,4,5,1,7,1,1,1,2,2,6,1,1,1,2,2,5,2,5,3,1,1,6,2,4,4,2,1,1,5,1977,1
53,1,5,4,5,2,2,1,1,15,41,50,50,71,22,40,70,,,5,5,5,5,5,5,5,5,4,3,,8,3,8,8,8,8,8,8,8,8,4,2,8,8,8,8,8,8,8,8,1,3,3,3,3,3,4,3,3,5,3,7,2,3,6,6,5,5,4,9,4,1,2,2,4,4,3,3,5,1,2,6,2,3,4,3,3,1,1,6,5,2,2,3,2,2,1,4,1940,1
54,1,1,3,1,2,1,2,1,80,91,91,91,51,65,88,94,1,11,5,5,5,5,5,5,5,5,3,3,1,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,8,8,3,8,4,1,2,2,5,2,2,5,2,3,2,4,2,2,4,1,1,2,1,3,3,4,1,5,1,3,7,2,7,6,1,1,1,4,2,5,2,5,1,4,1,6,2,2,1,1,1,5,3,1983,2
55,2,5,5,4,2,2,2,2,2,50,59,50,65,47,29,50,,,1,4,4,4,1,3,3,1,4,3,,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,3,3,3,4,3,3,4,3,1,4,3,4,6,5,1,1,4,4,2,9,3,2,3,2,4,4,4,5,5,2,3,4,3,2,3,3,3,1,3,6,2,1,1,3,1,1,2,4,1978,2
56,2,4,3,4,2,2,2,1,72,84,84,76,57,46,75,95,3,11,4,4,4,5,3,3,4,4,2,3,4,8,2,1,8,8,8,8,8,8,8,3,8,8,8,8,8,4,8,8,8,8,2,3,4,2,3,4,1,5,5,2,6,2,4,1,1,3,7,4,9,5,1,5,1,4,3,2,4,5,1,1,1,3,2,4,2,3,1,1,1,6,2,1,2,2,1,2,5,1978,1
57,1,1,2,1,1,1,1,2,0,41,84,40,36,54,1,31,2,9,3,5,4,2,2,5,3,1,4,4,4,8,3,8,8,8,8,1,8,8,4,8,8,8,8,8,8,8,8,8,8,2,4,4,2,4,3,5,5,1,5,2,5,3,6,2,4,3,1,1,1,1,2,2,2,4,4,3,3,5,2,1,7,3,4,3,3,3,1,4,5,2,1,1,1,1,1,3,1,1974,1
58,1,4,4,5,2,2,2,1,97,86,87,88,94,41,69,98,1,10,3,3,3,3,3,3,3,3,2,1,3,8,8,8,8,8,2,8,4,1,8,8,8,8,8,8,8,8,8,8,3,8,3,2,5,3,3,5,1,5,3,7,1,2,2,1,1,2,6,5,5,5,1,6,1,1,1,3,7,7,1,1,1,4,3,5,2,4,1,1,1,6,2,2,4,1,1,3,5,1973,2
59,2,5,3,3,2,2,2,1,10,49,100,71,96,18,22,92,3,7,3,4,5,4,3,4,4,3,3,4,3,8,4,8,8,8,2,8,8,8,8,8,3,8,8,8,8,8,8,8,1,8,4,3,2,3,2,2,3,2,4,3,4,2,4,4,7,4,1,5,9,5,1,7,1,5,2,4,2,3,2,3,4,5,3,3,2,3,1,3,3,2,2,1,5,2,2,2,4,1970,1
60,1,3,5,5,2,2,2,1,57,50,54,58,85,4,50,90,,,5,5,5,5,5,5,5,5,3,3,,8,8,4,8,8,3,8,8,8,1,2,8,8,8,8,8,8,8,8,8,8,4,4,5,4,4,5,3,5,5,4,1,4,4,3,1,7,7,5,4,5,1,7,1,1,7,1,7,7,1,1,1,7,3,4,2,4,1,1,1,5,2,3,5,2,2,1,4,1977,1
61,1,1,1,1,1,1,1,1,0,100,100,100,100,0,100,0,,,5,5,5,5,5,5,5,5,5,5,,8,8,8,8,8,8,1,8,8,8,2,8,8,8,8,4,8,8,8,8,3,5,5,5,5,5,5,5,5,4,1,7,7,7,7,7,4,3,1,3,4,3,3,4,6,7,4,5,5,2,2,7,1,5,2,5,2,1,1,1,6,2,1,5,1,1,1,5,1962,1
62,4,5,5,5,2,2,2,1,84,71,98,91,85,98,66,97,2,2,3,3,3,3,4,5,5,4,2,3,2,8,8,1,8,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,4,4,3,2,5,5,4,3,4,5,1,5,4,1,1,2,5,1,1,5,2,2,2,3,4,3,5,2,1,1,1,4,3,3,3,3,2,4,1,6,1,1,1,2,2,2,5,1989,2
63,1,3,3,3,2,2,2,1,95,81,71,88,52,84,90,100,,,5,5,5,5,5,5,5,5,1,2,,8,8,2,8,8,8,4,3,1,8,8,8,8,8,8,8,8,8,8,8,8,2,3,5,3,3,5,1,5,3,7,7,2,1,1,1,4,6,5,9,5,1,7,1,1,2,2,7,7,1,1,1,4,1,5,3,5,3,4,1,6,2,3,5,1,1,3,5,1960,2
64,2,3,3,4,2,2,2,1,15,50,50,50,60,20,35,70,5,8,5,5,5,5,5,5,5,4,4,4,3,8,8,8,8,8,4,8,8,8,8,1,8,8,8,8,2,8,8,3,8,8,4,4,4,4,4,4,3,4,4,3,7,3,5,3,3,5,6,9,2,3,3,6,2,4,3,3,3,5,2,2,6,2,3,4,3,4,1,1,2,6,2,2,4,1,1,4,4,1968,1
